code,district,department,municipality,school_name,address,phone,supervisor,director,sector,area,status,teaching_mode,schedule,plan,departmental
16-01-0138-46,16-031,Alta Verapaz,Coban,Colegio Coban,Sin especificar,['7794-5104'],Mercedes Josefina Torres Galvez,Gustavo Adolfo Sierra Pop,Privado,Urbana,Abierta,Monolingue,Matutina,Diario,Verapaz
16-01-0139-46,16-031,Alta Verapaz,Coban,Colegio Particular Mixto Verapaz,Sin especificar,['7736-7402'],Mercedes Josefina Torres Galvez,Gilma Dolores Guay Paz De Leal,Privado,Urbana,Abierta,Monolingue,Matutina,Diario,Verapaz
16-01-0140-46,16-031,Alta Verapaz,Coban,Colegio La Inmaculada,6 Avenida 6-11 Zona 1,['7823-2301'],Mercedes Josefina Torres Galvez,Virginia Solano Serrano,Privado,Urbana,Abierta,Monolingue,Matutina,Diario,Verapaz
16-01-0141-46,16-005,Alta Verapaz,Coban,Escuela De Ciencias Comerciales Nocturna,11 Calle 11-28 Zona 1,['7951-4215'],Rudy Adolfo Tot Och,Hector Rolando Chun Poou,Oficial,Urbana,Abierta,Monolingue,Matutina,Diario,Verapaz
16-01-0142-46,16-005,Alta Verapaz,Coban,Instituto Normal Mixto Del Norte Emilio Rosales Ponce,6 Avenida 1-22 Zona 1,['7952-1468'],Rudy Adolfo Tot Och,Victor Hugo Dominguez Reyes,Oficial,Urbana,Abierta,Bilingue,Vespertina,Diario,Verapaz
16-01-0143-46,16-031,Alta Verapaz,Coban,Colegio Particular Mixto Imperial,Sin especificar,['5710-1061'],Mercedes Josefina Torres Galvez,Hector Waldemar Tot Coy,Privado,Urbana,Abierta,Monolingue,Doble,Fin de semana,Verapaz
16-01-0145-46,16-006,Alta Verapaz,Coban,Instituto De Turismo Y Aviacion Del Norte Itan,3 Avenida 5-28 Zona 4,['5464-1454'],Efrain Caal Cuc,Luis Fernando Soto,Privado,Urbana,Cerrada Temporalmente,Monolingue,Matutina,Diario,Verapaz
16-01-0147-46,16-031,Alta Verapaz,Coban,Colegio La Inmaculada,7 Calle 11-09 Zona 6,['4953-2425'],Mercedes Josefina Torres Galvez,Rosa Maria Zamora Gonzalez,Privado,Rural,Cerrada Temporalmente,Monolingue,Doble,Diario,Verapaz
16-01-0150-46,16-006,Alta Verapaz,Coban,Instituto Intercultrual Altaverapacencese Iiav,6 Avenida 1-22 Zona 1,Sin especificar,Efrain Caal Cuc,Guillermo Estuardo Vasquez Morales,Privado,Urbana,Cerrada Temporalmente,Bilingue,Doble,Fin de semana,Verapaz
16-01-0155-46,16-031,Alta Verapaz,Coban,Liceo Moderno Latino,4 Avenida 11-52 Zona 12,['7952-2555'],Mercedes Josefina Torres Galvez,Hector Armando Teyul Chen,Privado,Urbana,Abierta,Monolingue,Doble,Fin de semana,Verapaz
16-01-0428-46,16-005,Alta Verapaz,Coban,Instituto Nacional De Educacion Diversificada Xekupilaj,Sin especificar,['7994-5251'],Rudy Adolfo Tot Och,Helson Marco Chen Gutierrez,Oficial,Rural,Abierta,Monolingue,Vespertina,Diario,Verapaz
16-01-0471-46,16-031,Alta Verapaz,Coban,Colegio De Informatica Ceninfav,1 Avenida 12-01 Zona 1,['7954-5566'],Mercedes Josefina Torres Galvez,Maria Magdalena Bol Cu,Privado,Urbana,Abierta,Monolingue,Vespertina,Diario,Verapaz
16-01-0478-46,16-031,Alta Verapaz,Coban,Colelgio Evangelico La Patria,Sin especificar,['7951-4440'],Mercedes Josefina Torres Galvez,Aura Eunice Soto Fonseca,Privado,Urbana,Cerrada Temporalmente,Monolingue,Matutina,Diario,Verapaz
16-01-0481-46,16-031,Alta Verapaz,Coban,Liceo Americano Del Norte,5 Calle 2-44 Zona 2,['7951-4754'],Mercedes Josefina Torres Galvez,Jose Cupertino Reyes Garcia,Privado,Urbana,Abierta,Monolingue,Matutina,Diario,Verapaz
16-01-0483-46,16-031,Alta Verapaz,Coban,Liceo Americano Del Norte,5 Calle 2-44 Zona 2,['7951-4754'],Mercedes Josefina Torres Galvez,Jose Cupertino Reyes Garcia,Privado,Urbana,Abierta,Monolingue,Doble,Fin de semana,Verapaz
16-01-0557-46,16-031,Alta Verapaz,Coban,Colegio La Libertad,3 Avenida 5-28 Zona 4,['7952-3696'],Mercedes Josefina Torres Galvez,Erick Fernando Choc Garcia,Privado,Urbana,Cerrada Temporalmente,Monolingue,Doble,Fin de semana,Verapaz
16-01-0558-46,16-005,Alta Verapaz,Coban,Instituto Normal Preprimaria Bilingue Adscrito Al Instituto Normal Mixto Del Norte Emilio Rosales Ponce,6 Avenida 1-22 Zona 1,['7952-1468'],Rudy Adolfo Tot Och,Victor Hugo Dominguez Reyes,Oficial,Urbana,Abierta,Monolingue,Vespertina,Diario,Verapaz
16-01-0559-46,16-005,Alta Verapaz,Coban,Instituto Normal Primaria Bilingue Intercultural Ads Al Instituto Emilio Rosales Ponce,6 Avenida 1-22 Zona 1,['7952-1468'],Rudy Adolfo Tot Och,Victor Hugo Dominguez Reyes,Oficial,Urbana,Abierta,Monolingue,Vespertina,Diario,Verapaz
16-01-0563-46,16-031,Alta Verapaz,Coban,Centro De Formacion Integral Las Conchas Fmg,Sin especificar,['7952-2793'],Mercedes Josefina Torres Galvez,David Waldemar Urrutia Choc,Privado,Rural,Abierta,Monolingue,Vespertina,Diario,Verapaz
16-01-0565-46,16-031,Alta Verapaz,Coban,Instituto Mixto Privado Salud Y Desarrollo,Sin especificar,['5192-2050'],Mercedes Josefina Torres Galvez,Samantha Gabriela De La Cruz Morales,Privado,Urbana,Abierta,Monolingue,Doble,Fin de semana,Verapaz
16-01-0568-46,16-031,Alta Verapaz,Coban,Instituto Privado Raul Chenal Heinemann,5 Calle 3-08 Zona 1,['7951-0413'],Mercedes Josefina Torres Galvez,Silvia Beatriz Soto Chen,Privado,Urbana,Abierta,Monolingue,Nocturna,Diario,Verapaz
16-01-0570-46,16-031,Alta Verapaz,Coban,Liceo Miguel Angel Asturias,Sin especificar,['7951-1103'],Mercedes Josefina Torres Galvez,Jayron Ariel Coy Cacao,Privado,Urbana,Cerrada Temporalmente,Monolingue,Doble,Fin de semana,Verapaz
16-01-0572-46,16-031,Alta Verapaz,Coban,Liceo Miguel Angel Asturias,Sin especificar,['7951-1103'],Mercedes Josefina Torres Galvez,Jayron Ariel Coy Cacao,Privado,Urbana,Abierta,Monolingue,Matutina,Diario,Verapaz
16-01-0573-46,16-031,Alta Verapaz,Coban,Colegio Cristiano Bilingue Verbo,Sin especificar,['7794-5181'],Mercedes Josefina Torres Galvez,Lesly Eugenia Chocooj Vidaurre,Privado,Urbana,Abierta,Monolingue,Matutina,Diario,Verapaz
16-01-0574-46,16-005,Alta Verapaz,Coban,Escuela De Ciencias Comerciales Nocturna,11 Calle 11-28 Zona 1,['5353-0198'],Rudy Adolfo Tot Och,Ervin Orlando Juarez Sam,Oficial,Urbana,Abierta,Monolingue,Vespertina,Diario,Verapaz
16-01-0583-46,16-031,Alta Verapaz,Coban,Colegio Nuevos Senderos,3 Calle 3-73 Zona 3,['7941-7300'],Mercedes Josefina Torres Galvez,Zoyla Argentina Mollinedo Alvarado,Privado,Urbana,Abierta,Monolingue,Matutina,Diario,Verapaz
16-01-0604-46,16-031,Alta Verapaz,Coban,Instituto Privado Raul Chenal Heinemann,5 Calle 3-08 Zona 1,['7951-0413'],Mercedes Josefina Torres Galvez,Silvia Beatriz Soto Chen,Privado,Urbana,Abierta,Monolingue,Matutina,Diario,Verapaz
16-01-0609-46,16-031,Alta Verapaz,Coban,Instituto Mixto De Educacion Bilingue Intercul,Sin especificar,['3036-7501'],Mercedes Josefina Torres Galvez,Juan Pascual Lucas Antonio,Privado,Urbana,Abierta,Monolingue,Vespertina,Diario,Verapaz
16-01-0611-46,16-031,Alta Verapaz,Coban,Colegio Hispanoamericano,Sin especificar,['7472-5125'],Mercedes Josefina Torres Galvez,Octavio Ismael Batz Choc,Privado,Urbana,Cerrada Temporalmente,Monolingue,Matutina,Diario,Verapaz
16-01-0612-46,16-031,Alta Verapaz,Coban,Instituto De Magisterio De Educacion Preprimaria Infantil Bilingue Intercultural Luz Del Saber,Sin especificar,['5756-5646'],Mercedes Josefina Torres Galvez,Thelma Martina Pop Tzir,Privado,Rural,Abierta,Bilingue,Vespertina,Diario,Verapaz
16-01-0613-46,16-031,Alta Verapaz,Coban,Colegio Particular Mixto Anton De Montesinos,1 Calle 7-206 Zona 3,['7725-9205'],Mercedes Josefina Torres Galvez,Margarita Villalobos Ligorria,Privado,Urbana,Abierta,Monolingue,Matutina,Diario,Verapaz
16-01-0616-46,16-037,Alta Verapaz,Coban,Instituto Nacional De Educacion Diversificada Xekupilaj,Sin especificar,['5730-0783'],Ernesto Caal Choc,Bryan Faruc Prado Tut,Oficial,Rural,Abierta,Monolingue,Vespertina,Diario,Verapaz
16-01-0619-46,16-031,Alta Verapaz,Coban,Colegio Particular Mixto Anton De Montesinos,1 Calle 7-206 Zona 3,['7725-9205'],Mercedes Josefina Torres Galvez,Margarita Villalobos Ligorria,Privado,Urbana,Cerrada Temporalmente,Monolingue,Vespertina,Diario,Verapaz
16-01-0642-46,16-005,Alta Verapaz,Coban,Instituto Nacional De Educacion Diversificada Xekupilaj,Sin especificar,['5333-1646'],Rudy Adolfo Tot Och,Gilda Aracely Wellmann Duarte,Oficial,Rural,Abierta,Monolingue,Vespertina,Diario,Verapaz
16-01-0646-46,16-031,Alta Verapaz,Coban,Instituto Mixto Privado Salud Y Desarrollo,Sin especificar,['4404-2550'],Mercedes Josefina Torres Galvez,Erwin Rolando Xol Chun,Privado,Urbana,Cerrada Temporalmente,Monolingue,Doble,Fin de semana,Verapaz
16-01-0651-46,16-031,Alta Verapaz,Coban,Centro De Formacion Integral Ciudad De La Esperanza,6 Avenida 10-68 Zona 12,['7736-7652'],Mercedes Josefina Torres Galvez,Byron Anibal Gomez Gatica,Privado,Urbana,Abierta,Monolingue,Matutina,Diario,Verapaz
16-01-0652-46,16-037,Alta Verapaz,Coban,Instituto Maya Comunitario K Amolb E,Sin especificar,['3062-1374'],Ernesto Caal Choc,Jose Lino Quib Che,Privado,Rural,Abierta,Bilingue,Vespertina,Diario,Verapaz
16-01-0664-46,16-031,Alta Verapaz,Coban,Liceo Americano Del Norte,2 Avenida 2-55 Zona 3,['7951-4754'],Mercedes Josefina Torres Galvez,Jose Cupertino Reyes Garcia,Privado,Urbana,Abierta,Monolingue,Matutina,Diario,Verapaz
16-01-0665-46,16-031,Alta Verapaz,Coban,Colegio De Informatica Ceninfav,1 Avenida 12-01 Zona 1,['7954-5566'],Mercedes Josefina Torres Galvez,Maria Magdalena Bol Cu,Privado,Urbana,Cerrada Temporalmente,Monolingue,Doble,Diario,Verapaz
16-01-0666-46,16-031,Alta Verapaz,Coban,Colegio De Informatica Ceninfav,1 Avenida 12-01 Zona 1,['7952-1765'],Mercedes Josefina Torres Galvez,Hector Vidal Bol Cu,Privado,Urbana,Cerrada Temporalmente,Monolingue,Doble,Fin de semana,Verapaz
16-01-0668-46,16-031,Alta Verapaz,Coban,Colegio Particular Mixto Imperial,Sin especificar,['5710-1061'],Mercedes Josefina Torres Galvez,Hector Waldemar Tot Coy,Privado,Urbana,Abierta,Monolingue,Doble,Diario,Verapaz
16-01-0671-46,16-031,Alta Verapaz,Coban,Colegio Privado Mixto Tecnologico En Informatica,5 Calle 7-28 Zona 2,['7952-1190'],Mercedes Josefina Torres Galvez,Jorge Salvador Juarez Sierra,Privado,Urbana,Abierta,Monolingue,Doble,Diario,Verapaz
16-01-0672-46,16-031,Alta Verapaz,Coban,Ica,10 Avenida 10-00 Zona 1,['3350-9500'],Mercedes Josefina Torres Galvez,Laidy Andrea Chocooj Tiul,Privado,Urbana,Abierta,Monolingue,Matutina,Diario,Verapaz
16-01-0678-46,16-031,Alta Verapaz,Coban,Colegio La Libertad,Sin especificar,['4897-9726'],Mercedes Josefina Torres Galvez,Silvia Yolanda Caal Quim,Privado,Urbana,Abierta,Monolingue,Doble,Fin de semana,Verapaz
16-01-0681-46,16-031,Alta Verapaz,Coban,Instituto Privado Mixto Santo Domingo,11 Calle 11-28 Zona 1,['7952-9830'],Mercedes Josefina Torres Galvez,America Nuila Luther,Privado,Urbana,Abierta,Monolingue,Doble,Fin de semana,Verapaz
16-01-0690-46,16-031,Alta Verapaz,Coban,Isea La Escuela En Su Casa,1 Avenida 7-45 Zona 3,['7793-0803'],Mercedes Josefina Torres Galvez,Ludwin Joel Noriega Morales,Privado,Urbana,Abierta,Monolingue,Doble,A distancia,Verapaz
16-01-0694-46,16-031,Alta Verapaz,Coban,Colegio La Libertad,3 Avenida 5-28 Zona 4,['5556-4568'],Mercedes Josefina Torres Galvez,Silvia Yolanda Caal Quim,Privado,Urbana,Abierta,Monolingue,Doble,Semipresencial,Verapaz
16-01-0703-46,16-031,Alta Verapaz,Coban,Instituto Mixto Privado Salud Y Desarrollo,Sin especificar,['5192-2050'],Mercedes Josefina Torres Galvez,Samantha Gabriela De La Cruz Morales,Privado,Urbana,Abierta,Bilingue,Vespertina,Diario,Verapaz
16-01-0705-46,16-050,Alta Verapaz,Coban,Programa De Educacion Alternativa Pronea,Sin especificar,['4558-7767'],Maximiliano Chub Ical,Sin especificar,Oficial,Rural,Abierta,Monolingue,Doble,A distancia,Verapaz
16-01-0710-46,16-031,Alta Verapaz,Coban,Oxford Bilingual School,2 Calle 1-99 Zona 4,['7951-3898'],Mercedes Josefina Torres Galvez,Darwin Roberto Iglesias De La Cruz,Privado,Urbana,Abierta,Bilingue,Matutina,Diario,Verapaz
16-01-0712-46,16-050,Alta Verapaz,Coban,Enbi Centro De Educacion Extraescolar Ceex,2 Avenida 01-010 Zona 3,['7952-1302'],Maximiliano Chub Ical,Anabela Cecilia Bol Caal,Oficial,Urbana,Abierta,Bilingue,Vespertina,Diario,Verapaz
16-01-0909-46,16-031,Alta Verapaz,Coban,Isea La Escuela En Su Casa,11 Calle 11-28 Zona 1,['7725-6954'],Mercedes Josefina Torres Galvez,Ludwin Joel Noriega Morales,Privado,Urbana,Abierta,Monolingue,Sin especificar,Fin de semana,Verapaz
16-01-0910-46,16-031,Alta Verapaz,Coban,Colegio De Informatica Ceninfav,1 Avenida 12-01 Zona 1,['7952-1765'],Mercedes Josefina Torres Galvez,Hector Vidal Bol Cu,Privado,Urbana,Abierta,Monolingue,Sin especificar,Fin de semana,Verapaz
16-01-0912-46,16-031,Alta Verapaz,Coban,Colegio Privado Mixto Tecnologico En Informatica,5 Calle 7-28 Zona 2,['7951-1459'],Mercedes Josefina Torres Galvez,Daniel Bernardo Ramirez Gonzalez,Privado,Urbana,Abierta,Monolingue,Sin especificar,Fin de semana,Verapaz
16-01-0913-46,16-031,Alta Verapaz,Coban,Instituto Mixto Privado Salud Y Desarrollo,Sin especificar,['5958-4790'],Mercedes Josefina Torres Galvez,Samantha Gabriela De La Cruz Morales,Privado,Urbana,Abierta,Monolingue,Sin especificar,Fin de semana,Verapaz
16-01-0915-46,16-031,Alta Verapaz,Coban,Instituto Privado Mixto Santo Domingo,11 Calle 11-28 Zona 1,['7952-9830'],Mercedes Josefina Torres Galvez,America Nuila Luther,Privado,Urbana,Abierta,Monolingue,Sin especificar,Fin de semana,Verapaz
16-01-0917-46,16-031,Alta Verapaz,Coban,Instituto Privado Mixto Monja Blanca,Sin especificar,['7951-3896'],Mercedes Josefina Torres Galvez,Edwin Armando Catun Caal,Privado,Urbana,Abierta,Monolingue,Sin especificar,Fin de semana,Verapaz
16-01-0918-46,16-031,Alta Verapaz,Coban,Liceo Preuniversitario Del Norte,Sin especificar,['7941-7346'],Mercedes Josefina Torres Galvez,Zoila Imena Lopez Rodas,Privado,Urbana,Abierta,Monolingue,Sin especificar,Fin de semana,Verapaz
16-01-0919-46,16-031,Alta Verapaz,Coban,Liceo Mixto Particular San Benito,9 Avenida 2-82 Zona 0,['3705-8145'],Mercedes Josefina Torres Galvez,Henri Marco Artola Teyul,Privado,Urbana,Abierta,Monolingue,Vespertina,Diario,Verapaz
16-01-0922-46,16-031,Alta Verapaz,Coban,Colegio La Libertad,3 Avenida 5-28 Zona 4,['3385-7209'],Mercedes Josefina Torres Galvez,Silvia Yolanda Caal Quim,Privado,Urbana,Abierta,Monolingue,Sin especificar,Fin de semana,Verapaz
16-01-0926-46,16-005,Alta Verapaz,Coban,Instituto Nacional De Educacion Diversificada Xekupilaj,2 Calle 8-18 Zona 4,['4528-2976'],Rudy Adolfo Tot Och,Esther Guadalupe Pineda Ochaeta,Oficial,Urbana,Abierta,Monolingue,Nocturna,Diario,Verapaz
16-01-0927-46,16-005,Alta Verapaz,Coban,Instituto Nacional De Educacion Diversificada Xekupilaj,2 Calle 1-99 Zona 4,['4528-2976'],Rudy Adolfo Tot Och,Esther Guadalupe Pineda Ochaeta,Oficial,Urbana,Abierta,Monolingue,Nocturna,Diario,Verapaz
16-01-0982-46,16-050,Alta Verapaz,Coban,Enbi Centro De Educacion Extraescolar Ceex,8 Avenida 02-43 Zona 1,['4542-3234'],Maximiliano Chub Ical,Lidia Dolores Yat Xol,Oficial,Sin especificar,Abierta,Monolingue,Doble,Semipresencial,Verapaz
16-01-0986-46,16-031,Alta Verapaz,Coban,Colegio Mixto La Excelencia,2 Calle 8-18 Zona 4,['4111-4848'],Mercedes Josefina Torres Galvez,Zuly Beatriz Lopez Winter,Privado,Urbana,Abierta,Monolingue,Doble,Fin de semana,Verapaz
16-01-0987-46,16-031,Alta Verapaz,Coban,Colegio Mixto La Excelencia,2 Calle 8-18 Zona 4,['4111-4848'],Mercedes Josefina Torres Galvez,Zuly Beatriz Lopez Winter,Privado,Urbana,Abierta,Monolingue,Sin especificar,Fin de semana,Verapaz
16-01-0990-46,16-031,Alta Verapaz,Coban,Liceo Mixto Particular San Benito,9 Avenida 2-82 Zona 0,['3705-8145'],Mercedes Josefina Torres Galvez,Henri Marco Artola Teyul,Privado,Urbana,Abierta,Monolingue,Sin especificar,Semipresencial,Verapaz
16-01-0991-46,16-031,Alta Verapaz,Coban,Liceo Mixto Particular San Benito,9 Avenida 2-82 Zona 0,['3705-8145'],Mercedes Josefina Torres Galvez,Henri Marco Artola Teyul,Privado,Urbana,Abierta,Monolingue,Doble,Fin de semana,Verapaz
16-01-0994-46,16-050,Alta Verapaz,Coban,Enbi Centro De Educacion Extraescolar Ceex,Sin especificar,['4997-2934'],Maximiliano Chub Ical,Henrry Alexander De Los Santos Mutz,Oficial,Urbana,Abierta,Monolingue,Doble,Diario,Verapaz
16-01-1172-46,16-006,Alta Verapaz,Coban,Colegio Particular Mixto Carlos V,6 Calle 2-06 Zona 8,Sin especificar,Efrain Caal Cuc,Sin especificar,Privado,Urbana,Cerrada Temporalmente,Monolingue,Matutina,Fin de semana,Verapaz
16-01-1173-46,16-006,Alta Verapaz,Coban,Colegio Particular Mixto Carlos V,6 Calle 2-06 Zona 8,Sin especificar,Efrain Caal Cuc,Sin especificar,Privado,Urbana,Cerrada Temporalmente,Monolingue,Matutina,Diario,Verapaz
16-01-1174-46,16-031,Alta Verapaz,Coban,Instituto Privado Raul Chenal Heinemann,5 Calle 3-08 Zona 1,['7951-0413'],Mercedes Josefina Torres Galvez,Silvia Beatriz Soto Chen,Privado,Urbana,Abierta,Monolingue,Vespertina,Diario,Verapaz
16-01-1175-46,16-031,Alta Verapaz,Coban,Instituto Privado Raul Chenal Heinemann,5 Calle 3-08 Zona 1,['7952-0414'],Mercedes Josefina Torres Galvez,Silvia Beatriz Soto Chen,Privado,Urbana,Abierta,Monolingue,Doble,Fin de semana,Verapaz
16-01-1176-46,16-031,Alta Verapaz,Coban,Instituto Privado Mixto Santo Domingo,11 Calle 11-28 Zona 1,['7952-9830'],Mercedes Josefina Torres Galvez,America Nuila Luther,Privado,Urbana,Cerrada Temporalmente,Monolingue,Vespertina,Fin de semana,Verapaz
16-01-1177-46,16-006,Alta Verapaz,Coban,Instituto Privado Mixto Santo Domingo,11 Calle 11-28 Zona 1,['7723-1494'],Efrain Caal Cuc,Sin especificar,Privado,Urbana,Cerrada Temporalmente,Monolingue,Matutina,Fin de semana,Verapaz
16-01-1259-46,16-006,Alta Verapaz,Coban,Instituto De Turismo Y Aviacion Del Norte Itan,3 Avenida 5-28 Zona 4,['5863-3599'],Efrain Caal Cuc,Sin especificar,Privado,Urbana,Cerrada Temporalmente,Monolingue,Matutina,Diario,Verapaz
16-01-1312-46,16-031,Alta Verapaz,Coban,Colegio Privado Mixto Tecnologico En Informatica,5 Calle 7-28 Zona 2,['7951-1459'],Mercedes Josefina Torres Galvez,Daniel Bernardo Ramirez Gonzalez,Privado,Urbana,Cerrada Temporalmente,Monolingue,Vespertina,Fin de semana,Verapaz
16-01-1313-46,16-006,Alta Verapaz,Coban,Colegio Privado Mixto Tecnologico En Informatica,5 Calle 7-28 Zona 2,['7951-1459'],Efrain Caal Cuc,Sin especificar,Privado,Urbana,Cerrada Temporalmente,Monolingue,Nocturna,Diario,Verapaz
16-01-1390-46,16-031,Alta Verapaz,Coban,Liceo Miguel Angel Asturias,Sin especificar,['7951-1103'],Mercedes Josefina Torres Galvez,Jayron Ariel Coy Cacao,Privado,Urbana,Cerrada Temporalmente,Monolingue,Matutina,Fin de semana,Verapaz
16-01-1393-46,16-031,Alta Verapaz,Coban,Liceo Preuniversitario Del Norte,2 Calle 4-61 Zona 4,['7941-7346'],Mercedes Josefina Torres Galvez,Alfredo Rodrigo Paau Vasquez,Privado,Urbana,Cerrada Temporalmente,Monolingue,Vespertina,Fin de semana,Verapaz
16-01-1394-46,16-031,Alta Verapaz,Coban,Instituto Privado Mixto Monja Blanca,Sin especificar,['7951-3896'],Mercedes Josefina Torres Galvez,Edwin Armando Catun Caal,Privado,Urbana,Abierta,Monolingue,Doble,Fin de semana,Verapaz
16-01-1401-46,16-006,Alta Verapaz,Coban,Cooperacion Mesoamericana Para El Desarrollo Y La Paz,Sin especificar,['5218-2313'],Efrain Caal Cuc,Sin especificar,Privado,Urbana,Cerrada Temporalmente,Monolingue,Doble,A distancia,Verapaz
16-01-1468-46,16-031,Alta Verapaz,Coban,Colegio Nuestra Senora De La Esperanza,Sin especificar,['7951-0207'],Mercedes Josefina Torres Galvez,Sin especificar,Privado,Urbana,Cerrada Temporalmente,Monolingue,Matutina,Diario,Verapaz
16-01-1469-46,16-031,Alta Verapaz,Coban,Colegio Privado Mixto Tecnologico En Informatica,5 Calle 7-28 Zona 2,['7951-1459'],Mercedes Josefina Torres Galvez,Daniel Bernardo Ramirez Gonzalez,Privado,Urbana,Abierta,Monolingue,Doble,Fin de semana,Verapaz
16-01-1491-46,16-031,Alta Verapaz,Coban,Colegio La Libertad,Sin especificar,['7951-1439'],Mercedes Josefina Torres Galvez,Charlim Hamilton Caal Hernandez,Privado,Urbana,Cerrada Temporalmente,Monolingue,Matutina,Diario,Verapaz
16-01-2156-46,16-031,Alta Verapaz,Coban,Colegio Particular Mixto Imperial,Sin especificar,['5710-1061'],Mercedes Josefina Torres Galvez,Hector Waldemar Tot Coy,Privado,Urbana,Abierta,Monolingue,Vespertina,Diario,Verapaz
16-01-2171-46,16-031,Alta Verapaz,Coban,Instituto Mixto Nuevos Horizontes,13 Avenida 7-39 Zona 1,Sin especificar,Mercedes Josefina Torres Galvez,Fredy Emilio Vasquez Morales,Privado,Urbana,Cerrada Temporalmente,Monolingue,Matutina,Fin de semana,Verapaz
16-01-2302-46,16-031,Alta Verapaz,Coban,Instituto Privado Mixto Monja Blanca,Sin especificar,['7951-3896'],Mercedes Josefina Torres Galvez,Edwin Armando Catun Caal,Privado,Urbana,Cerrada Temporalmente,Monolingue,Matutina,Fin de semana,Verapaz
16-01-2947-46,Sin especificar,Alta Verapaz,Coban,Instituto Privado Basico Y Bachillerato Por Madurez Carlos V,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Privado,Urbana,Cerrada Temporalmente,Monolingue,Vespertina,Diario,Verapaz
16-01-3041-46,16-005,Alta Verapaz,Coban,Instituto De Bachillerato Ads Al Instituto Normal Mixto Del Norte Emilio Rosales Ponce,6 Avenida 1-22 Zona 1,['7952-1468'],Rudy Adolfo Tot Och,Victor Hugo Dominguez Reyes,Oficial,Urbana,Abierta,Monolingue,Vespertina,Diario,Verapaz
16-01-6190-46,16-031,Alta Verapaz,Coban,Liceo Miguel Angel Asturias,Sin especificar,['7951-1103'],Mercedes Josefina Torres Galvez,Jayron Ariel Coy Cacao,Privado,Urbana,Abierta,Monolingue,Vespertina,Diario,Verapaz
16-01-6191-46,16-031,Alta Verapaz,Coban,Colegio Privado Mixto Tecnologico En Informatica,5 Calle 7-28 Zona 2,['7951-1459'],Mercedes Josefina Torres Galvez,Jorge Salvador Juarez Sierra,Privado,Urbana,Abierta,Monolingue,Matutina,Diario,Verapaz
16-01-7308-46,16-031,Alta Verapaz,Coban,Colegio Particular Mixto Imperial,Sin especificar,['7951-4226'],Mercedes Josefina Torres Galvez,Sin especificar,Privado,Urbana,Cerrada Temporalmente,Monolingue,Nocturna,Diario,Verapaz
16-01-8294-46,16-031,Alta Verapaz,Coban,Liceo Preuniversitario Del Norte,Sin especificar,['7941-7346'],Mercedes Josefina Torres Galvez,Oscar Alfredo Molina Cu,Privado,Urbana,Abierta,Monolingue,Doble,Diario,Verapaz
16-01-8317-46,16-031,Alta Verapaz,Coban,Liceo De Computacion Y Educacion Para El Hogar MBM,Sin especificar,['7951-3444'],Mercedes Josefina Torres Galvez,Matilde Och Cacao,Privado,Rural,Cerrada Temporalmente,Monolingue,Matutina,Diario,Verapaz
16-01-8331-46,16-031,Alta Verapaz,Coban,Liceo Preuniversitario Del Norte,Sin especificar,['7941-7346'],Mercedes Josefina Torres Galvez,Zoila Imena Lopez Rodas,Privado,Urbana,Abierta,Monolingue,Doble,Fin de semana,Verapaz
16-01-8335-46,16-031,Alta Verapaz,Coban,Colegio De Informatica Ceninfav,1 Avenida 12-01 Zona 1,['7954-5566'],Mercedes Josefina Torres Galvez,Maria Magdalena Bol Cu,Privado,Rural,Abierta,Monolingue,Matutina,Diario,Verapaz
16-01-8813-46,25-000,Alta Verapaz,Coban,Instituto Guatemalteca De Educacion Radiofonica Iger,Sin especificar,Sin especificar,Sonia Haydee Reyes Monterroso,Sin especificar,Privado,Rural,Cerrada Temporalmente,Monolingue,Matutina,A distancia,Verapaz
16-01-9067-46,16-005,Alta Verapaz,Coban,Escuela Normal De Educacion Fisica,Sin especificar,['7952-3686'],Rudy Adolfo Tot Och,Berta Maria Mendez Rodriguez,Oficial,Urbana,Abierta,Monolingue,Doble,Diario,Verapaz
16-01-9095-46,16-031,Alta Verapaz,Coban,Colegio Privado Mixto Tecnologico En Informatica,5 Calle 7-28 Zona 2,['7951-1459'],Mercedes Josefina Torres Galvez,Daniel Bernardo Ramirez Gonzalez,Privado,Urbana,Abierta,Monolingue,Vespertina,Diario,Verapaz
16-01-9102-46,16-031,Alta Verapaz,Coban,Colegio Evangelico Mixto Nazaret,6 Calle 8-10 Zona 10,['7951-1866'],Mercedes Josefina Torres Galvez,Ana Maria Yat Coy,Privado,Urbana,Abierta,Monolingue,Matutina,Diario,Verapaz
16-01-9260-46,16-005,Alta Verapaz,Coban,Escuela De Formacion Agricola,Sin especificar,['5219-1386'],Rudy Adolfo Tot Och,Sin especificar,Oficial,Rural,Cerrada Temporalmente,Monolingue,Doble,Diario,Verapaz
16-01-9544-46,16-031,Alta Verapaz,Coban,Colegio Bilingue De Infantes,3 Calle 3-73 Zona 3,['3383-6377'],Mercedes Josefina Torres Galvez,Nancy Johana Hengstenberg Delgado,Privado,Urbana,Abierta,Monolingue,Matutina,Diario,Verapaz
