code,district,department,municipality,school_name,address,phone,supervisor,director,sector,area,status,teaching_mode,schedule,plan,departmental
00-03-0368-46,01-102,Guatemala,Guatemala,Instituto Privado Mixto De Educacion Diversificada Centro Profesional De Computacion,Sin especificar,Sin especificar,Zizi Arely Lopez Chinchilla,Sin especificar,Privado,Urbana,Abierta,Monolingue,Matutina,Diario,Metropolitana
00-03-0370-46,Sin especificar,Guatemala,Guatemala,Instituto Privado De Educacion Diversificada Liceo Guatemala,Sin especificar,['2251-5412'],Maria Felicita Roque Carrera,Sin especificar,Privado,Urbana,Cerrada Temporalmente,Monolingue,Matutina,Diario,Metropolitana
00-03-2909-46,Sin especificar,Guatemala,Guatemala,Colegio Mixto Cristiano Guatemalteco,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Privado,Urbana,Cerrada Temporalmente,Monolingue,Intermedia,Diario,Metropolitana
00-03-2910-46,01-101,Guatemala,Guatemala,Instituto Mixto Guatemalteco,Sin especificar,['2251-5412'],Maria Estela Marroquin Chur De Ortega,Sin especificar,Privado,Urbana,Cerrada Temporalmente,Monolingue,Vespertina,Diario,Metropolitana
00-03-2911-46,01-302,Guatemala,Guatemala,Colegio Evangelico Mixto Francisco G Penzotti,Sin especificar,['2440-1864'],Hector Edelmiro Flores Bringuez,Brenda Azucena Jochola Guitzol,Privado,Urbana,Abierta,Monolingue,Matutina,Diario,Metropolitana
00-03-3099-46,01-627,Guatemala,Guatemala,Colegio Evangelico De Las Asambleas De Dios,Sin especificar,['7839-8532'],Isaura Amparo Recinos Carrillo,Encarnacion Olcot Xinico,Privado,Urbana,Cerrada Temporalmente,Monolingue,Doble,Fin de semana,Metropolitana
00-03-4639-46,Sin especificar,Guatemala,Guatemala,Colegio Mixto Cristiano Guatemalteco,13 Calle 20-30 Zona 1,Sin especificar,Sin especificar,Sin especificar,Privado,Urbana,Cerrada Temporalmente,Monolingue,Vespertina,Diario,Metropolitana
00-03-6938-46,Sin especificar,Guatemala,Guatemala,Eprm Cristiana Vida,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Privado,Urbana,Cerrada Temporalmente,Monolingue,Vespertina,Diario,Metropolitana
00-03-7038-46,Sin especificar,Guatemala,Guatemala,Eprm Cristiana Vida,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Privado,Urbana,Cerrada Temporalmente,Monolingue,Vespertina,Diario,Metropolitana
00-03-7144-46,Sin especificar,Guatemala,Guatemala,Eprm Cristiana Vida,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Privado,Urbana,Cerrada Temporalmente,Monolingue,Vespertina,Diario,Metropolitana
00-03-7569-46,Sin especificar,Guatemala,Guatemala,Instituto Mixto Guatemalteco,Sin especificar,['2251-5412'],Sin especificar,Sin especificar,Privado,Urbana,Cerrada Temporalmente,Monolingue,Matutina,Diario,Metropolitana
00-03-7605-46,01-302,Guatemala,Guatemala,Liceo Brasileno,Sin especificar,['2251-7920'],Hector Edelmiro Flores Bringuez,Carlos Antonio Monney Valenzuela,Privado,Urbana,Cerrada Temporalmente,Monolingue,Matutina,Diario,Metropolitana
